coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
LTC,bbrsi,2019-03-31 01:00:00,5m,50.0,2,-0.03,-0.05,
LTC,bbrsi,2019-04-01 02:00:00,5m,,1,-0.32,-0.32,
LTC,bbrsi,2019-04-02 02:00:00,5m,,1,0.55,0.55,
LTC,bbrsi,2019-04-03 02:00:00,5m,25.0,4,-2.36,-9.44,
LTC,bbrsi,2019-04-04 02:00:00,5m,75.0,4,-0.16,-0.66,
LTC,bbrsi,2019-04-05 02:00:00,5m,,2,0.68,1.36,
LTC,bbrsi,2019-04-06 02:00:00,5m,,3,0.91,2.72,
LTC,bbrsi,2019-04-07 02:00:00,5m,60.0,5,-0.09,-0.46,
LTC,bbrsi,2019-04-08 02:00:00,5m,66.7,3,-1.18,-3.54,
LTC,bbrsi,2019-04-09 02:00:00,5m,50.0,4,-0.78,-3.12,
LTC,bbrsi,2019-04-10 02:00:00,5m,,4,0.20,0.79,
LTC,bbrsi,2019-04-11 02:00:00,5m,50.0,6,-0.93,-5.61,
LTC,bbrsi,2019-04-12 02:00:00,5m,80.0,5,0.80,4.02,
LTC,bbrsi,2019-04-13 02:00:00,5m,66.7,3,-0.76,-2.27,
LTC,bbrsi,2019-04-14 02:00:00,5m,,2,0.62,1.24,
LTC,bbrsi,2019-04-15 02:00:00,5m,50.0,4,-1.01,-4.04,
LTC,bbrsi,2019-04-16 02:00:00,5m,,4,0.77,3.06,
LTC,bbrsi,2019-04-17 02:00:00,5m,50.0,2,-0.56,-1.11,
LTC,bbrsi,2019-04-18 02:00:00,5m,50.0,2,-0.47,-0.95,
LTC,bbrsi,2019-04-19 02:00:00,5m,,5,0.52,2.58,
LTC,bbrsi,2019-04-20 02:00:00,5m,,4,0.39,1.55,
LTC,bbrsi,2019-04-21 02:00:00,5m,75.0,4,-0.56,-2.25,
LTC,bbrsi,2019-04-22 02:00:00,5m,,1,0.64,0.64,
LTC,bbrsi,2019-04-23 02:00:00,5m,66.7,3,-0.77,-2.31,
LTC,bbrsi,2019-04-24 02:00:00,5m,,4,0.69,2.78,
LTC,bbrsi,2019-04-25 02:00:00,5m,75.0,4,0.22,0.87,
LTC,bbrsi,2019-04-26 02:00:00,5m,,3,0.28,0.84,
LTC,bbrsi,2019-04-27 02:00:00,5m,50.0,2,-0.85,-1.69,
LTC,bbrsi,2019-04-28 02:00:00,5m,66.7,3,-0.04,-0.11,
LTC,bbrsi,2019-04-29 02:00:00,5m,66.7,3,-0.86,-2.57,
LTC,bbrsi,2019-04-30 02:00:00,5m,,1,1.22,1.22,
LTC,bbrsi,2019-05-01 02:00:00,5m,,1,0.30,0.30,
LTC,bbrsi,2019-05-02 02:00:00,5m,,4,0.06,0.22,
LTC,bbrsi,2019-05-03 02:00:00,5m,,2,0.50,0.99,
LTC,bbrsi,2019-05-04 02:00:00,5m,66.7,3,-1.09,-3.27,
LTC,bbrsi,2019-05-05 02:00:00,5m,,1,-1.63,-1.63,
LTC,bbrsi,2019-05-06 02:00:00,5m,,3,0.50,1.49,
LTC,bbrsi,2019-05-07 02:00:00,5m,,4,0.13,0.52,
LTC,bbrsi,2019-05-08 02:00:00,5m,50.0,2,0.14,0.27,
LTC,bbrsi,2019-05-09 02:00:00,5m,,2,0.21,0.41,
