coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
XMR,bbrsi,2019-03-31 01:00:00,5m,,0,0.00,0.00,
XMR,bbrsi,2019-04-01 02:00:00,5m,,1,0.64,0.64,
XMR,bbrsi,2019-04-02 02:00:00,5m,,2,0.47,0.93,
XMR,bbrsi,2019-04-03 02:00:00,5m,,4,2.85,11.41,
XMR,bbrsi,2019-04-04 02:00:00,5m,50.0,2,-1.60,-3.19,
XMR,bbrsi,2019-04-05 02:00:00,5m,,3,0.45,1.35,
XMR,bbrsi,2019-04-06 02:00:00,5m,50.0,2,-0.29,-0.58,
XMR,bbrsi,2019-04-07 02:00:00,5m,,3,0.20,0.60,
XMR,bbrsi,2019-04-08 02:00:00,5m,50.0,2,-1.56,-3.11,
XMR,bbrsi,2019-04-09 02:00:00,5m,50.0,2,-0.37,-0.74,
XMR,bbrsi,2019-04-10 02:00:00,5m,,2,0.22,0.43,
XMR,bbrsi,2019-04-11 02:00:00,5m,,2,1.55,3.11,
XMR,bbrsi,2019-04-12 02:00:00,5m,,4,1.09,4.36,
XMR,bbrsi,2019-04-13 02:00:00,5m,66.7,3,-0.92,-2.77,
XMR,bbrsi,2019-04-14 02:00:00,5m,,3,0.18,0.55,
XMR,bbrsi,2019-04-15 02:00:00,5m,,2,0.11,0.22,
XMR,bbrsi,2019-04-16 02:00:00,5m,,2,0.63,1.26,
XMR,bbrsi,2019-04-17 02:00:00,5m,75.0,4,-0.02,-0.09,
XMR,bbrsi,2019-04-18 02:00:00,5m,,1,0.24,0.24,
XMR,bbrsi,2019-04-19 02:00:00,5m,,5,0.13,0.64,
XMR,bbrsi,2019-04-20 02:00:00,5m,,2,0.31,0.62,
XMR,bbrsi,2019-04-21 02:00:00,5m,50.0,2,-1.64,-3.28,
XMR,bbrsi,2019-04-22 02:00:00,5m,,2,0.14,0.29,
XMR,bbrsi,2019-04-23 02:00:00,5m,,2,0.45,0.90,
XMR,bbrsi,2019-04-24 02:00:00,5m,,3,0.71,2.14,
XMR,bbrsi,2019-04-25 02:00:00,5m,,1,0.49,0.49,
XMR,bbrsi,2019-04-26 02:00:00,5m,66.7,3,0.07,0.21,
XMR,bbrsi,2019-04-27 02:00:00,5m,,2,0.24,0.48,
XMR,bbrsi,2019-04-28 02:00:00,5m,,1,-1.88,-1.88,
XMR,bbrsi,2019-04-29 02:00:00,5m,,1,0.03,0.03,
XMR,bbrsi,2019-04-30 02:00:00,5m,,2,0.48,0.96,
XMR,bbrsi,2019-05-01 02:00:00,5m,,4,0.46,1.82,
XMR,bbrsi,2019-05-02 02:00:00,5m,50.0,2,-0.32,-0.64,
XMR,bbrsi,2019-05-03 02:00:00,5m,66.7,3,-0.12,-0.36,
XMR,bbrsi,2019-05-04 02:00:00,5m,,1,-3.69,-3.69,
XMR,bbrsi,2019-05-05 02:00:00,5m,75.0,4,-0.01,-0.05,
XMR,bbrsi,2019-05-06 02:00:00,5m,50.0,2,0.01,0.03,
XMR,bbrsi,2019-05-07 02:00:00,5m,50.0,2,-1.61,-3.22,
XMR,bbrsi,2019-05-08 02:00:00,5m,,0,0.00,0.00,
XMR,bbrsi,2019-05-09 02:00:00,5m,,2,-2.08,-4.17,
XMR,bbrsi,2019-05-10 02:00:00,5m,,2,0.60,1.20,
XMR,bbrsi,2019-05-11 02:00:00,5m,,2,0.98,1.96,
XMR,bbrsi,2019-05-12 02:00:00,5m,60.0,5,-0.48,-2.40,
XMR,bbrsi,2019-05-13 02:00:00,5m,,3,0.85,2.54,
XMR,bbrsi,2019-05-14 02:00:00,5m,,4,1.32,5.27,
XMR,bbrsi,2019-05-15 02:00:00,5m,50.0,2,-1.75,-3.51,
XMR,bbrsi,2019-05-16 12:00:00,5m,57.1,7,-0.12,-0.82,
XMR,bbrsi,2019-05-17 12:00:00,5m,66.7,6,0.26,1.55,
XMR,bbrsi,2019-05-18 12:00:00,5m,,2,0.42,0.84,
XMR,bbrsi,2019-05-19 12:00:00,5m,75.0,4,0.20,0.80,
XMR,bbrsi,2019-05-20 12:00:00,5m,66.7,3,0.44,1.31,
XMR,bbrsi,2019-05-21 12:00:00,5m,66.7,3,0.17,0.52,
XMR,bbrsi,2019-05-22 12:00:00,5m,25.0,4,-1.77,-7.07,
XMR,bbrsi,2019-05-23 12:00:00,5m,75.0,4,0.32,1.27,
XMR,bbrsi,2019-05-24 12:00:00,5m,,4,0.32,1.27,
XMR,bbrsi,2019-05-25 12:00:00,5m,,2,0.16,0.32,
XMR,bbrsi,2019-05-26 12:00:00,5m,,3,0.52,1.57,
XMR,bbrsi,2019-05-27 12:00:00,5m,50.0,2,-0.00,-0.00,
XMR,bbrsi,2019-05-28 12:00:00,5m,75.0,4,-0.22,-0.87,
XMR,bbrsi,2019-05-29 12:00:00,5m,83.3,6,0.31,1.89,
XMR,bbrsi,2019-05-30 12:00:00,5m,75.0,4,-0.61,-2.45,
XMR,bbrsi,2019-05-31 12:00:00,5m,,4,0.67,2.69,
XMR,bbrsi,2019-06-01 12:00:00,5m,,5,0.54,2.70,
XMR,bbrsi,2019-06-02 12:00:00,5m,66.7,3,-0.99,-2.98,
XMR,bbrsi,2019-06-03 12:00:00,5m,75.0,4,-0.64,-2.58,
XMR,bbrsi,2019-06-04 12:00:00,5m,66.7,3,-0.84,-2.53,
XMR,bbrsi,2019-06-05 12:00:00,5m,,3,0.60,1.79,
XMR,bbrsi,2019-06-06 12:00:00,5m,,4,0.46,1.85,
XMR,bbrsi,2019-06-07 12:00:00,5m,66.7,3,-0.00,-0.01,
XMR,bbrsi,2019-06-08 13:00:00,5m,50.0,2,-0.63,-1.26,
XMR,bbrsi,2019-06-09 13:00:00,5m,75.0,4,-0.04,-0.16,
XMR,bbrsi,2019-06-10 13:00:00,5m,50.0,2,-0.21,-0.42,
XMR,bbrsi,2019-06-11 13:00:00,5m,66.7,3,0.12,0.35,
XMR,bbrsi,2019-06-12 13:00:00,5m,,3,0.27,0.81,
XMR,bbrsi,2019-06-13 13:00:00,5m,50.0,2,-0.48,-0.96,
XMR,bbrsi,2019-06-14 13:00:00,5m,,1,0.08,0.08,
XMR,bbrsi,2019-06-15 13:00:00,5m,,2,0.22,0.44,
XMR,bbrsi,2019-06-16 13:00:00,5m,,2,0.30,0.59,
XMR,bbrsi,2019-06-17 13:00:00,5m,50.0,2,-0.42,-0.84,
XMR,bbrsi,2019-06-18 13:00:00,5m,,2,0.58,1.15,
XMR,bbrsi,2019-06-19 13:00:00,5m,,3,0.35,1.06,
XMR,bbrsi,2019-06-20 13:00:00,5m,,1,0.73,0.73,
XMR,bbrsi,2019-06-21 13:00:00,5m,,2,0.30,0.60,
XMR,bbrsi,2019-06-22 13:00:00,5m,80.0,5,0.22,1.09,
XMR,bbrsi,2019-06-23 13:00:00,5m,,2,0.58,1.16,
XMR,bbrsi,2019-06-24 13:00:00,5m,50.0,2,-0.76,-1.52,
